epoch;F1_score;F1_score_dil;Precision;Precision_dil;Recall;accuracy;loss;val_F1_score;val_F1_score_dil;val_Precision;val_Precision_dil;val_Recall;val_accuracy;val_loss
0;0.5064414739608765;0.6069042682647705;0.38761642575263977;0.49736225605010986;0.8724819421768188;0.9210292100906372;13.15066909790039;0.08152642101049423;0.1190151572227478;0.042874325066804886;0.06374899297952652;0.9990506768226624;0.06963945180177689;26.030019760131836
1;0.6186378002166748;0.7336328625679016;0.49442780017852783;0.6374564170837402;0.9123930335044861;0.9569848775863647;10.60993480682373;0.2745254337787628;0.2838587760925293;0.8461508750915527;0.9704756140708923;0.17906124889850616;0.964088499546051;11.315999031066895
2;0.6452327370643616;0.7709912657737732;0.520098090171814;0.6818497180938721;0.9305903315544128;0.9609758257865906;8.485051155090332;0.29385510087013245;0.29594606161117554;0.9006511569023132;0.9296693801879883;0.18218930065631866;0.9647229313850403;8.151148796081543
3;0.661012589931488;0.7928524017333984;0.5350757241249084;0.7069911360740662;0.9463709592819214;0.9626409411430359;6.909193515777588;0.5896967053413391;0.7035900950431824;0.48386213183403015;0.6430420279502869;0.8308432698249817;0.9520286321640015;6.449391841888428
4;0.6823493242263794;0.8148988485336304;0.5557770729064941;0.7308633923530579;0.9531992673873901;0.9666538834571838;5.7610859870910645;0.6271516680717468;0.6571480631828308;0.8497481942176819;0.9688929915428162;0.5183219313621521;0.9771076440811157;5.707757949829102
5;0.6949693560600281;0.8266556262969971;0.5692337155342102;0.746717095375061;0.9560405015945435;0.9687760472297668;4.891175270080566;0.7089640498161316;0.7565049529075623;0.75914067029953;0.8656041622161865;0.7033228874206543;0.9781089425086975;4.773024559020996
6;0.694659948348999;0.8286172151565552;0.5634092092514038;0.7440539002418518;0.9610458016395569;0.9680846929550171;4.240474700927734;0.6661794185638428;0.6972312331199646;0.863398015499115;0.9661461710929871;0.5654094815254211;0.9789482951164246;4.403306007385254
7;0.6613153219223022;0.7949095964431763;0.5310055613517761;0.7043629288673401;0.9490208029747009;0.963163435459137;3.7717998027801514;0.6500619053840637;0.7287130355834961;0.590888500213623;0.7156620025634766;0.8004305958747864;0.9661246538162231;3.7355756759643555
8;0.6968565583229065;0.830493688583374;0.5700891017913818;0.7506849765777588;0.9575524926185608;0.9688335657119751;3.3307251930236816;0.6790110468864441;0.7009018063545227;0.8096537590026855;0.8702530264854431;0.6222002506256104;0.9787132740020752;3.523905038833618
9;0.7034713625907898;0.8316188454627991;0.5764772295951843;0.751316487789154;0.9566781520843506;0.9698634147644043;2.977004051208496;0.6993125081062317;0.7463894486427307;0.7393067479133606;0.8414519429206848;0.7089054584503174;0.9774946570396423;3.0564796924591064
10;0.7205365896224976;0.854145884513855;0.5930777788162231;0.7800776958465576;0.9619651436805725;0.9723638296127319;2.66483211517334;0.6207713484764099;0.631028413772583;0.8584017157554626;0.8938328623771667;0.5307230353355408;0.9761884212493896;2.9340336322784424
11;0.7121288180351257;0.8432354927062988;0.5859567523002625;0.7680141925811768;0.9613208770751953;0.9705377221107483;2.3997068405151367;0.66800457239151;0.6809791922569275;0.8546333312988281;0.8942963480949402;0.5872019529342651;0.9787238240242004;2.7384350299835205
12;0.7153409123420715;0.8472839593887329;0.5903573632240295;0.7730433344841003;0.9617953896522522;0.9713601469993591;2.1764581203460693;0.7014744281768799;0.7239153385162354;0.834693968296051;0.8969992995262146;0.6435879468917847;0.9793950319290161;2.390829563140869
13;0.7410462498664856;0.8727423548698425;0.6198434829711914;0.8089525699615479;0.9645507335662842;0.9753992557525635;1.9742804765701294;0.6807581782341003;0.699253499507904;0.8696779608726501;0.9274494647979736;0.597138524055481;0.9796016216278076;2.2936747074127197
14;0.7238181829452515;0.8537189960479736;0.5986974835395813;0.7787993550300598;0.9647917151451111;0.9727506637573242;1.793526291847229;0.6946459412574768;0.7117860913276672;0.8434350490570068;0.8916921615600586;0.6288741827011108;0.9794942736625671;2.103360414505005
15;0.7203057408332825;0.8573673963546753;0.592512309551239;0.781240701675415;0.9678881168365479;0.9725320935249329;1.6450470685958862;0.7169955372810364;0.7495483756065369;0.7575893998146057;0.8280078768730164;0.7245991826057434;0.9783134460449219;1.8545141220092773
16;0.7118908762931824;0.8400880098342896;0.5855230093002319;0.761757493019104;0.9586918950080872;0.9715782403945923;1.5413365364074707;0.7190796732902527;0.7646462321281433;0.7365028858184814;0.8295130133628845;0.7485690116882324;0.9778817892074585;1.7036436796188354
17;0.7170752882957458;0.8502413630485535;0.587268054485321;0.7709048986434937;0.9643419981002808;0.9721614718437195;1.4069041013717651;0.7072725892066956;0.7675421833992004;0.6713894009590149;0.7765092849731445;0.8030428886413574;0.9745014309883118;1.5523616075515747
18;0.7016866207122803;0.8330705165863037;0.573028028011322;0.7506790161132812;0.9614115953445435;0.9692196249961853;1.3266133069992065;0.6916537284851074;0.7145937085151672;0.8194975256919861;0.8828958868980408;0.6325191855430603;0.9793100953102112;1.7316027879714966
19;0.7158668041229248;0.8497865200042725;0.5883768796920776;0.7731387615203857;0.9620935916900635;0.9718219637870789;1.2423431873321533;0.7327463626861572;0.7763957381248474;0.7742804884910583;0.8717849254608154;0.7338602542877197;0.9795162677764893;1.4487684965133667
20;0.746260941028595;0.8807122707366943;0.6217913627624512;0.8160310983657837;0.9684641361236572;0.9759842753410339;1.118216872215271;0.5524573922157288;0.5569290518760681;0.9161583781242371;0.9394550323486328;0.42445793747901917;0.9750469923019409;1.8153959512710571
