epoch;F1_score;F1_score_dil;Precision;Precision_dil;Recall;accuracy;loss;val_F1_score;val_F1_score_dil;val_Precision;val_Precision_dil;val_Recall;val_accuracy;val_loss
0;0.44775158166885376;0.5521714687347412;0.33171889185905457;0.43941327929496765;0.8719545602798462;0.8931387662887573;21.009571075439453;0.2345767468214035;0.2932144105434418;0.1673579066991806;0.23033268749713898;0.4192350208759308;0.8917661905288696;22.556650161743164
1;0.6221463680267334;0.7560551762580872;0.4902729392051697;0.653779149055481;0.9382607936859131;0.956540048122406;19.11905288696289;0.10230042785406113;0.14893634617328644;0.05439303442835808;0.08111447095870972;0.9955142140388489;0.2880801260471344;23.485021591186523
2;0.6621619462966919;0.8008105754852295;0.5335597395896912;0.7132464051246643;0.9501678943634033;0.9629279971122742;17.109458923339844;0.342012494802475;0.40223005414009094;0.25297778844833374;0.3217577338218689;0.6502575278282166;0.875454843044281;16.83469581604004
3;0.654542088508606;0.7933526039123535;0.5194798707962036;0.6935553550720215;0.9589130878448486;0.9617306590080261;15.19895076751709;0.6744067072868347;0.7660059332847595;0.6530778408050537;0.82881098985672;0.7358528971672058;0.973330557346344;14.49828052520752
4;0.7000129222869873;0.8372600674629211;0.5699873566627502;0.7543109059333801;0.9660321474075317;0.9690759181976318;13.438053131103516;0.6158371567726135;0.659203827381134;0.7664605975151062;0.904998242855072;0.542416512966156;0.9740450978279114;13.178730964660645
5;0.7141259908676147;0.8569209575653076;0.586884617805481;0.7817199230194092;0.9679145812988281;0.9714369177818298;11.849003791809082;0.4381411075592041;0.48082420229911804;0.4094557762145996;0.4897262156009674;0.5119050145149231;0.9408233165740967;11.972657203674316
6;0.7277472615242004;0.8653956651687622;0.6007998585700989;0.7932717800140381;0.9694920778274536;0.9734437465667725;10.450807571411133;0.6511629819869995;0.6829252243041992;0.8537937998771667;0.9622601866722107;0.5518161058425903;0.9778653979301453;10.532896041870117
7;0.742538571357727;0.8843764662742615;0.6169116497039795;0.8191438913345337;0.9737367630004883;0.9753301739692688;9.218554496765137;0.712123692035675;0.7698876857757568;0.7945250868797302;0.951550304889679;0.6581361889839172;0.9796894192695618;8.996663093566895
8;0.7334651350975037;0.8736845254898071;0.6028209328651428;0.7995959520339966;0.9765079021453857;0.9740330576896667;8.155994415283203;0.7373509407043457;0.8303330540657043;0.6958871483802795;0.8694230914115906;0.8163480162620544;0.9782272577285767;7.844272613525391
9;0.7616459131240845;0.9004313945770264;0.6400781273841858;0.8445756435394287;0.9739261269569397;0.9778621196746826;7.22545862197876;0.6982662677764893;0.7235854268074036;0.8780693411827087;0.9611906409263611;0.5921385884284973;0.9800496101379395;7.313022613525391
10;0.7820489406585693;0.9168597459793091;0.662276029586792;0.8681700229644775;0.9768739342689514;0.9802898168563843;6.402230262756348;0.5900676846504211;0.600592315196991;0.910224437713623;0.9599907398223877;0.4703235328197479;0.976953387260437;6.763051509857178
11;0.7991690635681152;0.9328190684318542;0.6842368245124817;0.8922370076179504;0.9818559288978577;0.9821604490280151;5.685133934020996;0.6701807975769043;0.6838462948799133;0.903439998626709;0.9547296166419983;0.5511186122894287;0.9796713590621948;6.078958034515381
12;0.7787056565284729;0.9154632091522217;0.6601421236991882;0.8652898669242859;0.9800251722335815;0.9801205396652222;5.0848002433776855;0.7232419848442078;0.7587015628814697;0.8364527225494385;0.9363853931427002;0.6614965200424194;0.9807367920875549;5.3096208572387695
13;0.7843979597091675;0.9204022884368896;0.6657092571258545;0.8728006482124329;0.9791280031204224;0.9805282354354858;4.5564093589782715;0.7365928292274475;0.7894609570503235;0.7988370060920715;0.9284560680389404;0.7075449824333191;0.9809597134590149;4.707652568817139
14;0.7644652128219604;0.9039340615272522;0.6421719789505005;0.8463447093963623;0.9781985878944397;0.9779613018035889;4.101398468017578;0.5716351866722107;0.5947821736335754;0.8407449722290039;0.9345636367797852;0.46160420775413513;0.973373532295227;5.76639986038208
15;0.7576760649681091;0.8888619542121887;0.6359506845474243;0.8259112238883972;0.9742715358734131;0.9775896072387695;3.719517946243286;0.47553563117980957;0.5198904871940613;0.6102111339569092;0.7195103168487549;0.4612340033054352;0.9661362767219543;5.551331996917725
16;0.5985831618309021;0.7256211042404175;0.4665778875350952;0.6158790588378906;0.9481003880500793;0.9492089152336121;3.5597872734069824;0.08988699316978455;0.12728475034236908;0.04810177907347679;0.06961282342672348;0.8414328694343567;0.28199031949043274;13.15008544921875
17;0.5672552585601807;0.6961815357208252;0.4316898584365845;0.5784404277801514;0.9359706044197083;0.9436155557632446;3.5792689323425293;0.0646134465932846;0.09183668345212936;0.036915864795446396;0.05516109988093376;0.3004513680934906;0.6460971832275391;13.17996597290039
18;0.5993422865867615;0.7336333990097046;0.4607026278972626;0.6203489899635315;0.941670298576355;0.9515524506568909;3.4474008083343506;0.0015617561293765903;0.00156579224858433;0.04570053890347481;0.05674757435917854;0.0008033014019019902;0.958074688911438;9.809075355529785
19;0.6375147700309753;0.7754924297332764;0.5020486116409302;0.6735157370567322;0.9512035846710205;0.9590463638305664;3.181931257247925;0.0807957798242569;0.11825728416442871;0.04255997762084007;0.06352319568395615;0.9370908737182617;0.1209440678358078;17.104516983032227
20;0.6706066727638245;0.8090024590492249;0.5366346836090088;0.7171494960784912;0.957204282283783;0.9647384285926819;2.9238176345825195;0.10943731665611267;0.11529187113046646;0.5129179358482361;0.6587687730789185;0.07051808387041092;0.9595251679420471;8.179112434387207
